Old Model
New Data - ieLex
Fold within meanings ensuring no repeats

FOOT 	NN 	1050 	441 	48.7179487179 	99.9800039992 	20.8324653139 	0.344518638521
FOUR 	DT 	1225 	1225 	8.69565217391 	99.9750062484 	8.88869136241 	0.163108814033
FREEZE 	XX 	1275 	222 	86.9565217391 	99.9900009999 	66.6622225185 	0.799456289774
FRUIT 	NN 	1195 	236 	92.1052631579 	87.489063867 	87.489063867 	0.874390924257
FULL 	XX 	909 	678 	20.0 	99.9833361106 	20.6889417606 	0.342553681074
GIVE 	XX 	1130 	530 	47.3684210526 	99.9900009999 	34.481569601 	0.512413158811
GOOD 	JJ 	1661 	157 	96.4285714286 	99.9500249875 	66.6444518494 	0.79920039992
GRASS 	NN 	1179 	217 	78.4210526316 	99.9852402831 	48.5679594315 	0.652831274182
GREEN 	JJ 	1381 	298 	67.3913043478 	99.9857163262 	33.3317461073 	0.499589551496
GUTS 	NN 	1431 	329 	76.0869565217 	49.9875031242 	19.9980002 	0.285265868136
HAIR 	NN 	1438 	189 	93.4782608696 	99.9000999001 	33.3222259247 	0.499375281398
HAND 	NN 	1001 	152 	89.4736842105 	66.6592600822 	99.9833361106 	0.799413630093
HE 	DT 	832 	126 	93.5483870968 	99.9000999001 	49.9750124938 	0.665778296271
HEAD 	NN 	1286 	279 	63.2653061224 	99.9875015623 	31.9987200512 	0.484452054427
HEAR 	XX 	1431 	351 	71.7391304348 	99.9750062484 	24.9984375977 	0.399640223883
HEART 	NN 	1132 	868 	10.8108108108 	99.9750062484 	11.1108024777 	0.199810130422
HEAVY 	JJ 	1379 	290 	91.3043478261 	99.9000999001 	24.9937515621 	0.399520176188
HERE 	DT 	872 	154 	96.5517241379 	99.9750062484 	99.9750062484 	0.999250312422
HIT 	XX 	1778 	176 	89.552238806 	66.6555574071 	49.9937507812 	0.570857571133
HOLD 	DT 	1134 	196 	94.5945945946 	79.9840031994 	99.9750062484 	0.888197846268
HORN 	XX 	922 	453 	44.8275862069 	99.9000999001 	6.24960939941 	0.1175225057
HOW 	DT 	952 	825 	31.0344827586 	99.9500249875 	9.52335603067 	0.173739217387
HUNT 	XX 	1546 	120 	96.6101694915 	99.9750062484 	79.9840031994 	0.888197846268
HUSBAND 	NN 	2363 	209 	77.2151898734 	24.9984375977 	44.4395067215 	0.319514258445
ICE 	NN 	880 	150 	47.0588235294 	0.0 	0.0 	0.0
IF 	DT 	1149 	79 	92.1052631579 	99.9000999001 	33.3222259247 	0.499375281398
IN 	DT 	997 	301 	56.25 	99.9000999001 	4.76167801533 	0.0908140581211
