Fold within meanings
New Model
New Data


78.6583716527 	60.9791380131 	12.4432296569 	0.206407231601
78.1765341984 	50.912727269 	15.4651831592 	0.236883093129
77.3475445224 	49.9999588139 	18.0816151082 	0.265197753203
77.4678256182 	48.6595867916 	18.0966712699 	0.263423820545
77.1833839919 	47.5715768546 	23.1585258689 	0.311078920078
76.4916548415 	46.2589159018 	21.1418313584 	0.289774036144
77.453097584 	47.7757173823 	23.9975439248 	0.319033770159
77.0325888941 	48.3573208315 	25.074708585 	0.329800697036
76.2733589692 	47.016804173 	27.1256172034 	0.343566335386
---------------------------------
